Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,Stop taking the drug immediately and follow up with your doctor.,Always take medication as prescribed by your doctor,Avoid combining medications without medical advice,Read the medication leaflet carefully
Malaria,Take complete medication course as prescribed,Drink plenty of fluids and stay hydrated,Avoid mosquito bites ,Follow up with your doctor regularly
Allergy,apply calamine,Avoid exposure to allergens,Keep your surroundings clean and dust-free,use ice to compress itching
Hypothyroidism,reduce stress,exercise,Follow a balanced diet rich in iodine,Avoid high intake of goitrogenic foods
Psoriasis,"Limit exposure to triggers like stress, smoking, or alcohol",Avoid scratching or peeling the affected area,Moisturize your skin daily,Take salt baths
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,"Follow a low-fat, high-fiber diet",Stay hydrated and consume vitamin supplements,Avoid alcohol and hepatotoxic drugs,eat healthy
hepatitis A,Take complete rest and stay hydrated,"Avoid oily, fatty, and junk foods",Do not share personal items like utensils or towels which Prevent spreading the infection to others,medication
Osteoarthristis,acetaminophen,consult nearest hospital,Avoid prolonged standing or heavy lifting,Engage in low-impact exercises like walking or swimming
(vertigo) Paroymsal  Positional Vertigo,Move slowly when getting up from bed or changing posture,avoid sudden change in body,Avoid sudden head movements or quick position changes,Sleep with your head slightly elevated
Hypoglycemia,"Always carry a quick sugar source – Consume glucose tablets, candy, or juice during sudden sugar drops.",Avoid skipping meals or excessive physical activity without eating,drink sugary drinks,"Eat small, frequent balanced meals"
Acne,Avoid touching or popping pimples,Wash your face twice daily with a mild cleanser,drink plenty of water,"Avoid oily, junk, and sugary foods "
Diabetes ,Follow a balanced and low-sugar diet,Engage in regular physical activity ,Monitor blood sugar regularly,Follow up with your doctor regularly
Impetigo,Keep the affected area clean and dry,Avoid scratching or touching the infected area,"Do not share personal items like towels, clothes, or bedding",Follow up with your doctor regularly
Hypertension ,Reduce salt intake in your diet,Engage in regular physical activity,"Avoid stress, smoking, and alcohol consumption",get proper sleep
Peptic ulcer diseae,"Avoid spicy, acidic, and oily foods",consume probiotic food,Do not take painkillers or NSAIDs without a doctor's advice,"Eat small, frequent meals and avoid skipping meals"
Dimorphic hemmorhoids(piles),avoid fatty spicy food,Eat a high-fiber diet and drink plenty of water,Avoid prolonged sitting or straining during bowel movements,Maintain proper hygiene in the anal area
Common Cold,drink vitamin c rich drinks,take vapour,Drink plenty of fluids and rest well,Follow up with your doctor if symptoms persist
Chicken pox,use neem in bathing ,Avoid scratching the blisters,take vaccine,"Keep the body cool and wear loose, cotton clothes"
Cervical spondylosis,use heating pad or cold pack,exercise,Maintain proper posture while sitting or sleeping,consult doctor
Hyperthyroidism,eat healthy,Avoid excessive intake of iodine-rich foods ,Take prescribed medication regularly,take radioactive iodine treatment
Urinary tract infection,drink plenty of water,increase vitamin c intake,Maintain proper hygiene in the genital area,take probiotics
Varicose veins,lie down flat and raise the leg high,use oinments,Wear compression stockings as prescribed,Avoid prolonged standing or sitting
AIDS,Take antiretroviral medication (ART) regularly,Avoid unprotected sex and sharing needles,Maintain a healthy diet and lifestyle,Follow up with your doctor regularly
Paralysis (brain hemorrhage),Follow prescribed physiotherapy and exercises,Maintain a healthy diet and control blood pressure,Avoid stressful activities or sudden movements,Follow up with your doctor regularly
Typhoid,eat high calorie vegitables,antiboitic therapy,Drink plenty of boiled or purified water,Avoid outside or unhygienic food
Hepatitis B,Avoid alcohol and junk food,"Do not share personal items like razors, needles, or toothbrushes","Eat a healthy, low-fat diet and stay hydrated",Follow up with your doctor regularly
Fungal infection,bath twice,Keep the affected area clean and dry,"Wear loose, breathable cotton clothes","Avoid sharing personal items like towels, clothes, or footwear"
Hepatitis C,Avoid alcohol and fatty foods,vaccination,Maintain a healthy diet and stay hydrated,"Do not share needles, razors, or personal items"
Migraine,"Avoid triggers like loud noise, bright lights, or stress ",Maintain a regular sleep and eating schedule,Stay hydrated and avoid caffeine or junk food,consult doctor
Bronchial Asthma,switch to loose cloothing,Practice breathing exercises and stay hydrated ,"Avoid exposure to dust, smoke, and strong odors",Always carry your inhaler or prescribed medication
Alcoholic hepatitis,stop alcohol consumption,"Follow a healthy, low-fat, high-protein diet",Stay hydrated and avoid junk or processed foods,Follow up with your doctor regularly
Jaundice,Drink plenty of water and fresh fruit juices,Take complete rest and avoid strenuous activities,eat fruits and high fiberous food,Follow up with your doctor regularly
Hepatitis E,"Drink clean, boiled, or purified water","Avoid oily, spicy, and junk food ",Maintain proper hygiene and avoid raw or undercooked food,Follow up with your doctor regularly
Dengue,"Drink plenty of fluids like water, ORS, and fruit juices",avoid fatty spicy food,Avoid painkillers like ibuprofen or aspirin without a doctor's advice,Use mosquito nets and repellents 
Hepatitis D,Completely avoid alcohol consumption,"Follow a healthy, low-fat, and high-protein diet","Do not share needles, razors, or personal items",Follow up with your doctor regularly 
Heart attack,"Follow a low-fat, low-salt, and heart-healthy diet",Take prescribed medications regularly,Follow up with your doctor regularly,"Avoid smoking, alcohol, and stressful activities"
Pneumonia,Take complete rest and stay hydrated,"Avoid exposure to cold air, smoke, or pollutants",Take rest,Complete the full course of antibiotics as prescribed
Arthritis,Engage in regular low-impact exercises like walking or swimming,use hot and cold therapy,Avoid lifting heavy objects or putting stress on joints,Maintain a healthy weight
Gastroenteritis,stop eating solid food for while,try taking small sips of water,"Drink plenty of fluids like ORS, coconut water, or clear broth",ease back into eating
Tuberculosis,Cover your mouth while coughing or sneezing,consult doctor,Avoid crowded or poorly ventilated places,Take your medication regularly as prescribed
